DFC_FACILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS Certification Number (CCN),Network,Facility Name,Five Star Date,Five Star,Five Star Data Availability Code,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,Profit or Non-Profit,Chain Owned,Chain Organization,Late Shift,# of Dialysis Stations,Offers in-center hemodialysis,Offers peritoneal dialysis,Offers home hemodialysis training,Certification Date,Claims Date,EQRS Date,SMR Date,Patient Survival Category Text,Patient Survival data availability code,Number of Patients included in survival summary,Mortality Rate (Facility),Mortality Rate: Upper Confidence Limit (97.5%),Mortality Rate: Lower Confidence Limit (2.5%),SHR Date,Patient hospitalization category text,Patient Hospitalization data availability Code,Number of patients included in hospitalization summary,Hospitalization Rate (Facility),Hospitalization Rate: Upper Confidence Limit (97.5%),Hospitalization Rate: Lower Confidence Limit (2.5%),SRR Date,Patient Hospital Readmission Category,Patient Hospital Readmission data availability Code,Number of hospitalizations included in hospital readmission summary,Readmission Rate (Facility),Readmission Rate: Upper Confidence Limit (97.5%),Readmission Rate: Lower Confidence Limit (2.5%),STrR Date,Patient Transfusion category text,Patient Transfusion data availability Code,Number of patients included in the transfusion summary,Transfusion Rate (Facility),Transfusion Rate: Upper Confidence Limit (97.5%),Transfusion Rate: Lower Confidence Limit (2.5%),FYSWR Date,FYSWR category text,Patient transplant waitlist data availability code,Number of patients in this facility for FYSWR,First Year Standardized Kidney Transplant Waitlist Ratio,95% C.I. (upper limit) for FYSWR,95% C.I. (lower limit) for FYSWR,PPPW category text,Patient prevalent transplant waitlist data availability code,Number of patients for PPPW,Percentage of Prevalent Patients Waitlisted for Kidney Transplant,95% C.I. (upper limit) for PPPW,95% C.I. (lower limit) for PPPW,SEDR Date,SEDR category text,Emergency Department Encounter data availability Code,Number of patients included in SEDR summary,Standardized ED visits ratio (Facility),SEDR: Upper Confidence Limit (97.5%),SEDR: Lower Confidence Limit (2.5%),ED30 Date,ED30 Category text,Emergency Department Encounter Ratio Occurring within 30 Days of Hospital Discharge data availability Code,Number of hospitalizations included in ED30 summary,Standardized ED visits within 30 days of hospital discharge ratio (Facility),ED30: Upper Confidence Limit (97.5%),ED30: Lower Confidence Limit (2.5%),YEARS Modality Switch BASED UPON,SMoSR: Classification Category (FACILITY),Modality Switch Data Availability Code,SMoSR: Number of Eligible patients (FACILITY),SMoSR: Standardized Modality Switch Ratio (FACILITY),SMoSR: Upper Confidence Limit (FACILITY),SMoSR: Lower Confidence Limit (FACILITY),SIR Date,Patient Infection category text,Patient Infection Data Availability Code,Standard Infection Ratio,SIR: Upper Confidence Limit (97.5%),SIR: Lower Confidence Limit (2.5%),Fistula Category Text,Fistula data availability code,Number of Patients included in fistula summary,Fistula Rate (Facility),Fistula Rate: Upper Confidence Limit (97.5%),Fistula Rate: Lower Confidence Limit (2.5%),HCP Vaccination Data Collection Dates,HCP Vaccination Data Availability Code,Healthcare worker COVID-19 vaccination adherence percentage,Adult HD Kt/V data availability code,Number of adult HD patients with KT/V data,Number of adult HD patient-months with Kt/V data,Percent of Adult HD patients with Kt/V >= 1.2,Adult PD Kt/V data availability code,Number of adult PD patients with KT/V data,Number of adult PD patient-months with Kt/V data,Percentage of Adult PD PTS with Kt/V >= 1.7,Pediatric HD Kt/V Data Availability Code,Number of pediatric HD patients with Kt/V data,Number of pediatric HD patient-months with KT/V data,Percentage of Pediatric HD patients with Kt/V >= 1.2,Pediatric PD Kt/V Data Availability Code,Number of pediatric PD patients with Kt/V data,Number of pediatric PD patient-months with KT/V data,Percentage of pediatric PD patients with Kt/V>=1.8,Percentage of Medicare patients with Hgb<10 g/dL,HGB<10 data availability code,Percentage of Medicare patients with Hgb>12 g/dL,Hgb > 12 data availability code,Number of Dialysis Patients with Hgb data,Hypercalcemia Data Availability Code,Number of patients in hypercalcemia summary,Number of patient-months in hypercalcemia summary,Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL),Serum phosphorus Data Availability Code,Number of patients in Serum phosphorus summary,Number of patient-months in Serum phosphorus summary,Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL,Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL,Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL,Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL,Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL,Long term catheter Data Availability Code,Number of patients in long term catheter summary,Number of patient months in long term catheter summary,Percentage of Adult patients with long term catheter in use,nPCR Data Availability Code,Number of patients in nPCR summary,Number of patient-months in nPCR summary,Percentage of pediatric HD patients with nPCR
52305,17,SANTA CLARA VALLEY RENAL CARE CENTER,01Jan2021-31Dec2024,4,1,2220 MOORPARK AVENUE,,SAN JOSE,CA,95128,Santa Clara,(408) 885-5730,Non-profit,No,Independent,Yes,25,Yes,Yes,No,8/22/77,01Oct2024-30Sep2025,01Oct2024-30Sep2025,01Jan2021-31Dec2024,As Expected,1,476,20.6,32.1,13.7,01Jan2024-31Dec2024,As Expected,1,108,106.6,177.1,69.4,01Jan2024-31Dec2024,As Expected,1,71,19.9,32.8,10.5,01Jan2024-31Dec2024,As Expected,1,75,18.4,49,8.8,01Jan2021-31Dec2023,As Expected,1,116,1.2,1.88,0.72,Better than Expected,1,227,31.4,42.9,21.8,01Jan2024-31Dec2024,As Expected,1,87,0.88,1.58,0.57,01Jan2023-31Dec2024,As Expected,1,110,0.55,1.23,0.18,01Jan2021-31Dec2023,As Expected,1,112,0.65,1.2,0.31,01Jan2024-31Dec2024,As Expected,1,0.78,1.35,0.41,As Expected,1,187,70.8,85,53.6,01Jul2025-30Sep2025,1,2,1,158,1585,98,1,73,734,95,259,0,,,259,0,,,5,1,5,1,75,1,247,2576,0,1,256,2663,4,23,31,31,11,1,187,1872,15,259,0,,
52311,18,St. Joseph Hospital Renal Center,01Jan2021-31Dec2024,4,1,Sr. Elizabeth Bldg. 1100 W. Stewart Drive,,Orange,CA,92868,Orange,(714) 771-8037,Non-profit,No,Independent,Yes,39,Yes,Yes,Yes,8/15/77,01Oct2024-30Sep2025,01Oct2024-30Sep2025,01Jan2021-31Dec2024,As Expected,1,462,22.9,34.6,15.7,01Jan2024-31Dec2024,Better than Expected,1,105,78.7,146.4,46.6,01Jan2024-31Dec2024,As Expected,1,48,11.3,28.7,2.9,01Jan2024-31Dec2024,As Expected,1,50,24.7,69.8,11.3,01Jan2021-31Dec2023,As Expected,1,68,1.1,1.93,0.57,As Expected,1,113,25.9,42.7,14.1,01Jan2024-31Dec2024,As Expected,1,51,1.07,2.11,0.64,01Jan2023-31Dec2024,As Expected,1,45,0.69,1.93,0.11,01Jan2021-31Dec2023,As Expected,1,95,0.61,1.32,0.22,01Jan2024-31Dec2024,Better than Expected,1,0.33,0.8,0.11,As Expected,1,143,58.8,77.6,35.9,01Jul2025-30Sep2025,201,,1,122,1092,84,201,0,,,199,6,25,,199,4,21,,2,1,12,1,42,1,137,1369,0,1,143,1417,9,24,27,28,12,1,143,1419,12,199,7,34,
52321,18,Childrens Hospital of Los Angeles,01Jan2021-31Dec2024,,260,"Division of Nephrology (Dialysis) 4650 Sunset Blvd., Box 40",,Los Angeles,CA,90027,Los Angeles,(323) 361-2560,Non-profit,No,Independent,No,10,Yes,Yes,Yes,7/28/77,01Oct2024-30Sep2025,01Oct2024-30Sep2025,01Jan2021-31Dec2024,Not Available,199,46,,,,01Jan2024-31Dec2024,As Expected,1,13,90.4,280.6,33.5,01Jan2024-31Dec2024,Not Available,199,8,,,,01Jan2024-31Dec2024,Not Available,199,3,,,,01Jan2021-31Dec2023,As Expected,1,66,0.8,1.26,0.47,As Expected,1,67,16.3,34.3,6.7,01Jan2024-31Dec2024,Not Available,199,2,,,,01Jan2023-31Dec2024,Not Available,199,0,,,,01Jan2021-31Dec2023,Not Available,199,1,,,,01Jan2024-31Dec2024,Not Available,201,,,,Not Available,199,2,,,,01Jul2025-30Sep2025,1,61,199,2,2,,199,3,17,,1,39,367,52,1,18,146,48,,199,,199,6,199,3,14,,199,4,14,,,,,,199,2,2,,1,41,384,60
52323,18,Kaiser Foundation Hospital Medical Ctr.- Sunset,01Jan2021-31Dec2024,3,1,"Dialysis Unit 4700 Sunset Blvd., 2nd Floor",,Los Angeles,CA,90027,Los Angeles,(323) 783-5580,Non-profit,Yes,Kaiser Permanente,Yes,30,Yes,Yes,Yes,7/25/77,01Oct2024-30Sep2025,01Oct2024-30Sep2025,01Jan2021-31Dec2024,As Expected,1,714,17.7,26.1,12.5,01Jan2024-31Dec2024,As Expected,1,163,114.6,173.2,80.9,01Jan2024-31Dec2024,As Expected,1,115,32.1,45.6,20.6,01Jan2024-31Dec2024,Not Available,199,10,,,,01Jan2021-31Dec2023,As Expected,1,69,0.87,1.9,0.32,Better than Expected,1,157,30.2,44.7,18.7,01Jan2024-31Dec2024,Not Available,199,10,,,,01Jan2023-31Dec2024,As Expected,1,22,2.07,4.92,0.48,01Jan2021-31Dec2023,Worse than Expected,1,60,0.15,0.84,0,01Jan2024-31Dec2024,As Expected,1,0.75,1.56,0.3,As Expected,1,134,68.3,86.8,45.9,01Jul2025-30Sep2025,1,28,1,108,1015,98,1,84,808,85,259,0,,,259,0,,,,201,,201,0,1,213,2020,1,1,218,2072,8,23,31,26,13,1,134,1254,19,259,0,,
52334,18,Arrowhead Regional Medical Center,01Jan2021-31Dec2024,4,1,400 N. Pepper Avenue,,Colton,CA,92324,San Bernardino,(909) 580-3911,Non-profit,No,Independent,No,24,Yes,No,No,4/28/06,01Oct2024-30Sep2025,01Oct2024-30Sep2025,01Jan2021-31Dec2024,As Expected,1,260,15.3,26.5,9.1,01Jan2024-31Dec2024,As Expected,1,57,143.9,245.9,89.6,01Jan2024-31Dec2024,As Expected,1,59,28.4,42.5,16.6,01Jan2024-31Dec2024,As Expected,1,36,33.3,93.8,15.2,01Jan2021-31Dec2023,As Expected,1,50,1.13,2.33,0.45,As Expected,1,104,23.4,41,11.8,01Jan2024-31Dec2024,As Expected,1,43,0.68,1.63,0.36,01Jan2023-31Dec2024,As Expected,1,55,1.13,2.23,0.44,01Jan2021-31Dec2023,As Expected,1,55,0.73,1.7,0.24,01Jan2024-31Dec2024,As Expected,1,0.95,1.8,0.44,As Expected,1,112,73,89.4,53.1,01Jul2025-30Sep2025,201,,1,103,1054,99,257,0,,,259,0,,,259,0,,,9,1,0,1,34,1,106,1082,0,1,112,1129,7,34,38,14,8,1,112,1119,16,259,0,,
52380,18,Kaiser Foundation Hospital Medical Ctr.- Fontana,01Jan2021-31Dec2024,1,1,"Peritoneal Dialysis Unit, 9985 Sierra Avenue MOB-3",,Fontana,CA,92335,San Bernardino,(909) 427-4253,Non-profit,Yes,Kaiser Permanente,No,5,No,Yes,No,7/24/91,01Oct2024-30Sep2025,01Oct2024-30Sep2025,01Jan2021-31Dec2024,Worse than Expected,1,387,34.7,55.5,22.4,01Jan2024-31Dec2024,As Expected,1,117,145.8,243.8,94.5,01Jan2024-31Dec2024,As Expected,1,73,47,72.3,28.9,01Jan2024-31Dec2024,Not Available,199,19,,,,01Jan2021-31Dec2023,As Expected,1,78,0.61,1.26,0.25,As Expected,1,176,25.6,38.3,15.9,01Jan2024-31Dec2024,As Expected,1,20,1.71,3.75,0.79,01Jan2023-31Dec2024,As Expected,1,22,1.26,4.34,0.14,01Jan2021-31Dec2023,Not Available,201,0,,,,01Jan2024-31Dec2024,Not Available,201,,,,Not Available,256,0,,,,01Jul2025-30Sep2025,1,25,256,0,,,1,182,1729,72,259,0,,,259,0,,,,201,,201,0,1,182,1729,1,1,189,1794,4,20,32,31,13,256,0,,,259,0,,
52381,18,Kaiser Foundation Hospital Medical Ctr.- Woodland Hills,01Jan2021-31Dec2024,4,1,"5601 De Soto Avenue, Area 247 Peritoneal Dialysis",,Woodland Hills,CA,91365,Los Angeles,(818) 719-3610,Non-profit,Yes,Kaiser Permanente,No,3,No,Yes,No,10/2/91,01Oct2024-30Sep2025,01Oct2024-30Sep2025,01Jan2021-31Dec2024,As Expected,1,257,16,28.3,9.2,01Jan2024-31Dec2024,As Expected,1,65,85.8,177.6,45,01Jan2024-31Dec2024,As Expected,1,29,32,57,14.7,01Jan2024-31Dec2024,Not Available,199,3,,,,01Jan2021-31Dec2023,As Expected,1,26,0.83,3.01,0.1,Better than Expected,1,53,43.7,67.8,22.3,01Jan2024-31Dec2024,Not Available,199,3,,,,01Jan2023-31Dec2024,Not Available,199,3,,,,01Jan2021-31Dec2023,Not Available,201,0,,,,01Jan2024-31Dec2024,Not Available,201,,,,Not Available,256,0,,,,01Jul2025-30Sep2025,201,,256,0,,,1,74,704,52,259,0,,,259,0,,,,201,,201,0,1,74,704,0,1,77,723,6,19,33,31,10,256,0,,,259,0,,
52382,18,Kaiser Foundation Hospital Medical Ctr.- Riverside,01Jan2021-31Dec2024,4,1,"Peritoneal Dialysis Unit, 10800 Magnolia Avenue, Module 1X",,Riverside,CA,92505,Riverside,(951) 353-4887,Non-profit,Yes,Kaiser Permanente,No,4,No,Yes,No,11/25/92,01Oct2024-30Sep2025,01Oct2024-30Sep2025,01Jan2021-31Dec2024,As Expected,1,330,25.9,41,16.9,01Jan2024-31Dec2024,As Expected,1,85,84.2,167.5,45.8,01Jan2024-31Dec2024,As Expected,1,29,36.8,65,15.5,01Jan2024-31Dec2024,Not Available,199,1,,,,01Jan2021-31Dec2023,As Expected,1,34,2.3,4.74,0.93,Better than Expected,1,109,35.8,53.3,21.4,01Jan2024-31Dec2024,Not Available,199,1,,,,01Jan2023-31Dec2024,As Expected,1,11,0,3.68,0,01Jan2021-31Dec2023,Not Available,201,0,,,,01Jan2024-31Dec2024,Not Available,201,,,,Not Available,256,0,,,,01Jul2025-30Sep2025,1,79,256,0,,,1,120,1136,85,259,0,,,259,0,,,,201,,201,0,1,120,1136,1,1,124,1114,6,21,30,26,17,256,0,,,259,0,,
52384,18,Kaiser Foundation Hospital Medical Ctr.- West Los Angeles,01Jan2021-31Dec2024,3,1,"Dialysis Unit 6041 Cadillac Avenue, Suite 442",,Los Angeles,CA,90034,Los Angeles,(323) 857-3245,Non-profit,Yes,Kaiser Permanente,No,5,No,Yes,No,4/26/93,01Oct2024-30Sep2025,01Oct2024-30Sep2025,01Jan2021-31Dec2024,As Expected,1,226,29.4,47.2,18.2,01Jan2024-31Dec2024,As Expected,1,53,65.8,159,30.6,01Jan2024-31Dec2024,As Expected,1,21,26.3,60.5,6.2,01Jan2024-31Dec2024,Not Available,199,8,,,,01Jan2021-31Dec2023,As Expected,1,33,0.66,1.93,0.14,Better than Expected,1,77,34,55.2,17.8,01Jan2024-31Dec2024,Not Available,199,8,,,,01Jan2023-31Dec2024,Not Available,199,6,,,,01Jan2021-31Dec2023,Not Available,201,0,,,,01Jan2024-31Dec2024,Not Available,201,,,,Not Available,256,0,,,,01Jul2025-30Sep2025,201,,256,0,,,1,93,821,57,259,0,,,259,0,,,,201,,201,0,1,93,821,4,1,93,636,3,22,34,26,14,256,0,,,259,0,,
52389,18,Kaiser Foundation Hospital Medical Ctr.- Downey,01Jan2021-31Dec2024,5,1,"CAPD Department-Basement, 9333 E. Imperial Hwy",,Downey,CA,90242,Los Angeles,(562) 657-9170,Non-profit,Yes,Kaiser Permanente,No,6,No,Yes,No,12/1/94,01Oct2024-30Sep2025,01Oct2024-30Sep2025,01Jan2021-31Dec2024,As Expected,1,418,25.1,42.6,15.1,01Jan2024-31Dec2024,As Expected,1,96,102.5,187.5,61.6,01Jan2024-31Dec2024,As Expected,1,47,20.5,43.9,6.8,01Jan2024-31Dec2024,Not Available,199,11,,,,01Jan2021-31Dec2023,Better than Expected,1,79,1.88,3.01,1.1,Better than Expected,1,164,44.3,58.6,30.9,01Jan2024-31Dec2024,Not Available,199,12,,,,01Jan2023-31Dec2024,Not Available,199,10,,,,01Jan2021-31Dec2023,Not Available,201,0,,,,01Jan2024-31Dec2024,Not Available,201,,,,Not Available,256,0,,,,01Jul2025-30Sep2025,201,,256,0,,,1,174,1613,61,259,0,,,259,0,,,,201,,201,0,1,174,1613,1,1,185,1629,3,16,30,32,20,256,0,,,259,0,,
