Center Name,Location,City,State,Deceased Donor Transplants In A Year,Living Donor Transplants In A Year,Get A Deceased Donor Transplant Faster, One Year kidney Survival
Saint Joseph Hospital,"Orange, CA",Orange,CA,69,13,0.729736083,0.866269431
University of California Irvine Medical Center,"Orange, CA",Orange,CA,206,23,0.695601309,0.41836375
University of California San Diego Medical Center,"La Jolla, CA",La Jolla,CA,142,40,0.55103496,0.892987822
Riverside Community Hospital,"Riverside, CA",Riverside,CA,0,0,0.40413935,0.428846686
Children's Hospital Los Angeles,"Los Angeles, CA",Los Angeles,CA,0,0,0.399929582,0
Cedars-Sinai Medical Center,"Los Angeles, CA",Los Angeles,CA,236,78,0.392132771,0.729135774
UCSF Medical Center at Mission Bay,"San Francisco, CA",San Francisco,CA,0,0,0.36394665,0.598862483
University of California at Los Angeles Medical Center,"Los Angeles, CA",Los Angeles,CA,286,87,0.292922874,0.056705996
Rady Children's Hospital and Health Center,"San Diego, CA",San Diego,CA,0,1,0.205804955,0.600764491
California Pacific Medical Center-Van Ness Campus,"San Francisco, CA",San Francisco,CA,174,35,0.190010753,0.555871853
Sharp Memorial Hospital,"San Diego, CA",San Diego,CA,74,37,0.182900574,0.281857155
University of California Davis Medical Center,"Sacramento, CA",Sacramento,CA,183,72,0.139625339,0.847898944
Keck Hospital of USC,"Los Angeles, CA",Los Angeles,CA,156,21,0.092487863,0.578837774
Loma Linda University Medical Center,"Loma Linda, CA",Loma Linda,CA,181,41,0.072861282,0.220184456
Scripps Green Hospital,"La Jolla, CA",La Jolla,CA,27,17,0.064319007,0.898044333
Harbor UCLA Medical Center,"Torrance, CA",Torrance,CA,50,2,0.042977405,0.90079833
Stanford Health Care,"Stanford, CA",Stanford,CA,110,51,0.04194241,0.971054916
University of California San Francisco Medical Center,"San Francisco, CA",San Francisco,CA,231,133,0.041576469,0.463149276
Lucile Salter Packard Children's Hospital at Stanford,"Palo Alto, CA",Palo Alto,CA,0,0,0,0
Saint Bernardine Medical Center,"San Bernardino, CA",San Bernardino,CA,0,0,0,0
St. Vincent Medical Center,"Los Angeles, CA",Los Angeles,CA,0,0,0,0
